Service,EC2-Instances($),Elastic Container Service for Kubernetes($),EC2-Other($),Relational Database Service($),VPC($),Elastic Container Service($),Elastic Load Balancing($),CloudWatch($),Key Management Service($),Secrets Manager($),EC2 Container Registry (ECR)($),Cost Explorer($),Inspector($),Security Hub($),S3($),Service Catalog($),Location Service($),SQS($),DynamoDB($),SNS($),Glacier($),Step Functions($),Lightsail($),Simple Workflow Service($),CloudShell($),CloudTrail($),Glue($),Tax($),Systems Manager($),CloudFormation($),Lambda($),X-Ray($),Total costs($)
Service total,3655.757728,1017.994786,961.7567257,592.7280531,464.1213103,351.4990903,341.8692779,194.2527944,46.81182688,20.83043382,12.13325789,10.73,4.518564117,1.77238,1.591993477,0.2632,0.0375365,0.0003512,0.00023778,0.0001185,1.63209E-05,1.04498E-05,3.1965E-06,1.62E-07,1.32E-07,0,0,0,0,0,0,0,7678.669695
01-11-2024,10.01280003,,0.539342738,,0.24,,,,0,0.027016666,,,,0.004,6.83012E-05,,0.0003885,0,,0,7.59E-08,4.86E-08,,,,0,0,0,,,,,10.82361636
02-11-2024,10.01280003,,0.538911213,,0.24,,,,0,0.026896666,,,,0.004,4.24672E-05,,0.000259,0,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,10.82290946
03-11-2024,10.01280003,,0.532004623,,0.24,,,,0.000234,0.026901666,,,,0.004,5.78672E-05,,0.000259,0,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,10.81625727
04-11-2024,10.01280003,,0.53969407,,0.24,,,,0.000342,0.027011666,,,,0.004,5.29008E-05,,0.0003885,0,,0,7.59E-08,4.86E-08,,,,0,0,,,,,,10.82428929
05-11-2024,10.01280003,,0.54055024,,0.24,,,,0.000411,0.034898889,,,,0.004,5.78672E-05,,0.000259,0,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,10.83297711
06-11-2024,10.01280003,,0.539690925,,0.24,,,,0.000234,0.040260001,,,,0.004,4.24672E-05,,0.000259,0,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,10.8372865
07-11-2024,10.01280003,,0.539339341,,0.24,,,,0.000348,0.040350001,,,,0.004,6.83008E-05,,0.0003885,0,,0,7.59E-08,4.86E-08,,,,0,0,,,,,,10.8372943
08-11-2024,10.01280003,,0.532434919,,0.24,,,,0.000228,0.040230001,,,,0.004,4.24672E-05,,0.000259,0,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,10.8299945
09-11-2024,10.01280003,,0.538910098,,0.24,,,,0.000234,0.040235001,,,,0.004,5.78678E-05,,0.000259,0,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,10.83649608
