date,service,cost
01-10-2023,Virtual Machines,2.59
02-10-2023,Virtual Machines,2.32
03-10-2023,Virtual Machines,2.31
04-10-2023,Virtual Machines,2.23
05-10-2023,Virtual Machines,2.2
06-10-2023,Virtual Machines,2.64
07-10-2023,Virtual Machines,1.92
08-10-2023,Virtual Machines,2.02
09-10-2023,Virtual Machines,2.16
10-10-2023,Virtual Machines,2.58
11-10-2023,Virtual Machines,2.22
12-10-2023,Virtual Machines,2.12
13-10-2023,Virtual Machines,2.09
14-10-2023,Virtual Machines,2.36
15-10-2023,Virtual Machines,2.27
16-10-2023,Virtual Machines,1.99
17-10-2023,Virtual Machines,2.69
18-10-2023,Virtual Machines,2.35
19-10-2023,Virtual Machines,2.34
20-10-2023,Virtual Machines,2.39
21-10-2023,Virtual Machines,2.55
22-10-2023,Virtual Machines,2.4
23-10-2023,Virtual Machines,2.03
24-10-2023,Virtual Machines,1.97
25-10-2023,Virtual Machines,2.1
26-10-2023,Virtual Machines,2.06
27-10-2023,Virtual Machines,2.1
28-10-2023,Virtual Machines,2.3
29-10-2023,Virtual Machines,1.88
30-10-2023,Virtual Machines,1.9
31-10-2023,Virtual Machines,1.7
01-11-2023,Virtual Machines,2.21
02-11-2023,Virtual Machines,2.12
03-11-2023,Virtual Machines,1.9
04-11-2023,Virtual Machines,2.73
05-11-2023,Virtual Machines,2.26
06-11-2023,Virtual Machines,2.19
07-11-2023,Virtual Machines,2.11
08-11-2023,Virtual Machines,2.47
09-11-2023,Virtual Machines,2.21
10-11-2023,Virtual Machines,2.24
11-11-2023,Virtual Machines,1.93
12-11-2023,Virtual Machines,2.26
13-11-2023,Virtual Machines,2.33
14-11-2023,Virtual Machines,2.08
15-11-2023,Virtual Machines,2.32
16-11-2023,Virtual Machines,2.34
17-11-2023,Virtual Machines,2.5
18-11-2023,Virtual Machines,1.86
19-11-2023,Virtual Machines,2.38
20-11-2023,Virtual Machines,2.12
21-11-2023,Virtual Machines,1.92
22-11-2023,Virtual Machines,2.42
23-11-2023,Virtual Machines,2.34
24-11-2023,Virtual Machines,2.68
25-11-2023,Virtual Machines,2.29
26-11-2023,Virtual Machines,2.63
27-11-2023,Virtual Machines,2.51
28-11-2023,Virtual Machines,2.45
29-11-2023,Virtual Machines,2.36
30-11-2023,Virtual Machines,2.29
01-12-2023,Virtual Machines,2.23
02-12-2023,Virtual Machines,2.12
03-12-2023,Virtual Machines,2.15
04-12-2023,Virtual Machines,2.1
05-12-2023,Virtual Machines,2.3
06-12-2023,Virtual Machines,2.33
07-12-2023,Virtual Machines,2.44
08-12-2023,Virtual Machines,2.53
09-12-2023,Virtual Machines,2.69
10-12-2023,Virtual Machines,2.23
11-12-2023,Virtual Machines,2.23
12-12-2023,Virtual Machines,2.06
13-12-2023,Virtual Machines,2.51
14-12-2023,Virtual Machines,2.38
15-12-2023,Virtual Machines,2.64
16-12-2023,Virtual Machines,2.41
17-12-2023,Virtual Machines,2.24
18-12-2023,Virtual Machines,2.19
19-12-2023,Virtual Machines,2.48
20-12-2023,Virtual Machines,2.26
21-12-2023,Virtual Machines,2.25
22-12-2023,Virtual Machines,2.59
23-12-2023,Virtual Machines,2.12
24-12-2023,Virtual Machines,2.38
25-12-2023,Virtual Machines,2.57
26-12-2023,Virtual Machines,2.11
27-12-2023,Virtual Machines,2.37
28-12-2023,Virtual Machines,1.99
29-12-2023,Virtual Machines,2.17
30-12-2023,Virtual Machines,2.32
31-12-2023,Virtual Machines,1.85
01-01-2024,Virtual Machines,2.14
02-01-2024,Virtual Machines,2.34
03-01-2024,Virtual Machines,2.21
04-01-2024,Virtual Machines,2.12
05-01-2024,Virtual Machines,2.47
06-01-2024,Virtual Machines,2.37
07-01-2024,Virtual Machines,2.51
08-01-2024,Virtual Machines,2.32
09-01-2024,Virtual Machines,1.98
