month,predicted_monthly_cost
2023-10-01,1168.0862487404333
2023-11-01,1150.6857239056724
2023-12-01,1194.9568036285907
2024-01-01,1208.561486537601
2024-02-01,1145.718386558252
2024-03-01,1237.3020161662118
2024-04-01,1210.7277504604679
2024-05-01,1270.9726033989452
2024-06-01,1260.3378130851795
2024-07-01,1315.1955922900997
2024-08-01,1329.4931548327306
2024-09-01,1297.8296442762994
2024-10-01,1359.3804230267594
2024-11-01,1336.4484118009232
2024-12-01,1387.023455931555
2025-01-01,1402.702262038442
2025-02-01,1282.5898148329077
2025-03-01,1436.1112865491039
2025-04-01,1406.8049484666199
2025-05-01,1466.0102062223552
2025-06-01,1436.2553121084663
2025-07-01,1494.983952672048
2025-08-01,1513.6418907189627
2025-09-01,1485.8225128297618
2025-10-01,1552.0195937337319
2025-11-01,1511.5805660849364
2025-12-01,1556.2968342689542
2026-01-01,1560.660063888936
2026-02-01,1415.0582643865778
2026-03-01,1569.8319174579078
2026-04-01,1524.1507479583968
2026-05-01,1581.1131059113998
2026-06-01,1548.0040794479125
2026-07-01,1611.0869842794257
2026-08-01,1629.1690798230982
2026-09-01,1597.5827200138503
2026-10-01,1667.8249611986773
