ds,predicted_monthly_cost,service
2023-10-01,61.56243347107333,API Management
2023-11-01,62.60260576601495,API Management
2023-12-01,64.91284752383734,API Management
2024-01-01,66.25606067435496,API Management
2024-02-01,63.35625157671306,API Management
2024-03-01,70.74346745053808,API Management
2024-04-01,69.28578108661868,API Management
2024-05-01,73.45505002829229,API Management
2024-06-01,72.73647266803879,API Management
2024-07-01,78.83549325478953,API Management
2024-08-01,79.876435718523,API Management
2024-09-01,78.47949345525545,API Management
2024-10-01,84.34676448519565,API Management
2024-11-01,83.32684529222885,API Management
2024-12-01,85.48971831869622,API Management
2025-01-01,85.56980497443892,API Management
2025-02-01,77.95411926756299,API Management
2025-03-01,88.45454475269678,API Management
2025-04-01,85.73073994041347,API Management
2025-05-01,89.50305173021808,API Management
2025-06-01,87.48049148187908,API Management
2025-07-01,93.13948584829694,API Management
2025-08-01,93.76798329568311,API Management
2025-09-01,92.10448997999049,API Management
2025-10-01,98.52880215155875,API Management
2025-11-01,97.15449456288475,API Management
2025-12-01,99.68956065852778,API Management
2026-01-01,99.7722777535196,API Management
2026-02-01,90.70995096124392,API Management
2026-03-01,102.57479546662289,API Management
2026-04-01,99.1528779558948,API Management
2026-05-01,103.30048784553172,API Management
2026-06-01,100.8373351177811,API Management
2026-07-01,106.87813246265874,API Management
2026-08-01,107.51972647860524,API Management
2026-09-01,105.41534080441238,API Management
2026-10-01,112.24659145117457,API Management
2023-10-01,41.68899307864928,App Service
2023-11-01,41.72985118664878,App Service
2023-12-01,44.02905008299421,App Service
2024-01-01,43.9501244452323,App Service
2024-02-01,41.85777284133825,App Service
2024-03-01,44.42425994565084,App Service
2024-04-01,43.19145147153811,App Service
2024-05-01,44.41750637625834,App Service
2024-06-01,43.629066763384834,App Service
2024-07-01,45.74003358169012,App Service
2024-08-01,46.309275861214616,App Service
2024-09-01,45.58695919717513,App Service
2024-10-01,46.260664204639696,App Service
2024-11-01,45.237432099509796,App Service
2024-12-01,47.03753256320988,App Service
2025-01-01,46.73439788995557,App Service
2025-02-01,43.048533365943754,App Service
2025-03-01,47.56111042911224,App Service
2025-04-01,46.4246056805355,App Service
2025-05-01,47.72016966276505,App Service
2025-06-01,46.775355084712345,App Service
2025-07-01,48.91892912129006,App Service
2025-08-01,49.36929492991757,App Service
2025-09-01,48.368186339436704,App Service
2025-10-01,48.82154274432918,App Service
2025-11-01,47.416150905231504,App Service
2025-12-01,48.98530388125849,App Service
2026-01-01,48.32946081308524,App Service
2026-02-01,44.24206572544833,App Service
2026-03-01,48.61470284519548,App Service
2026-04-01,47.132936449487744,App Service
2026-05-01,48.44885967030419,App Service
2026-06-01,47.45510256528195,App Service
2026-07-01,49.6186893938264,App Service
2026-08-01,50.065532277842635,App Service
2026-09-01,49.06992891341232,App Service
2026-10-01,49.50467271018336,App Service
2023-10-01,53.12694291140815,Azure Container Registry
2023-11-01,52.23114640870926,Azure Container Registry
2023-12-01,54.93059214598982,Azure Container Registry
2024-01-01,54.664257966228945,Azure Container Registry
2024-02-01,50.9740888500368,Azure Container Registry
2024-03-01,54.2394698585757,Azure Container Registry
2024-04-01,54.543080020851725,Azure Container Registry
2024-05-01,55.30798285770858,Azure Container Registry
2024-06-01,52.77605764929283,Azure Container Registry
2024-07-01,55.556614110139876,Azure Container Registry
2024-08-01,55.05267820594947,Azure Container Registry
2024-09-01,54.031214159190256,Azure Container Registry
2024-10-01,55.40468963703428,Azure Container Registry
2024-11-01,54.65692404864677,Azure Container Registry
2024-12-01,57.65473747663807,Azure Container Registry
2025-01-01,57.41012696684576,Azure Container Registry
2025-02-01,51.53936702834883,Azure Container Registry
2025-03-01,56.54839890785006,Azure Container Registry
2025-04-01,56.51073956005304,Azure Container Registry
2025-05-01,57.19982418625625,Azure Container Registry
2025-06-01,54.75933456051137,Azure Container Registry
2025-07-01,57.953214237360044,Azure Container Registry
2025-08-01,57.77174763269044,Azure Container Registry
2025-09-01,56.884164021819835,Azure Container Registry
2025-10-01,58.613551409540946,Azure Container Registry
2025-11-01,58.03940855559946,Azure Container Registry
2025-12-01,61.37028377338711,Azure Container Registry
2026-01-01,61.5358181643394,Azure Container Registry
2026-02-01,55.670675188695604,Azure Container Registry
2026-03-01,61.5675552049028,Azure Container Registry
2026-04-01,61.838123948261696,Azure Container Registry
2026-05-01,63.166946364951286,Azure Container Registry
2026-06-01,60.64458604007737,Azure Container Registry
2026-07-01,64.0394851133757,Azure Container Registry
2026-08-01,63.854475712965666,Azure Container Registry
2026-09-01,62.75918850710021,Azure Container Registry
2026-10-01,64.703517595948,Azure Container Registry
2023-10-01,62.14790937132267,Azure DNS
2023-11-01,61.427264496536914,Azure DNS
2023-12-01,60.71269077316878,Azure DNS
2024-01-01,61.90333755178478,Azure DNS
2024-02-01,57.150034923758064,Azure DNS
2024-03-01,62.60998823790603,Azure DNS
2024-04-01,58.73074679486987,Azure DNS
2024-05-01,61.694612154149546,Azure DNS
2024-06-01,60.91586249037998,Azure DNS
