date,service,cost
2023-10-01,Compute Engine,0.9
2023-10-02,Compute Engine,1.59
2023-10-03,Compute Engine,1.57
2023-10-04,Compute Engine,1.93
2023-10-05,Compute Engine,1.16
2023-10-06,Compute Engine,1.19
2023-10-07,Compute Engine,1.17
2023-10-08,Compute Engine,1.0
2023-10-09,Compute Engine,0.19
2023-10-10,Compute Engine,1.91
2023-10-11,Compute Engine,1.84
2023-10-12,Compute Engine,0.72
2023-10-13,Compute Engine,1.25
2023-10-14,Compute Engine,1.1
2023-10-15,Compute Engine,1.12
2023-10-16,Compute Engine,0.43
2023-10-17,Compute Engine,1.16
2023-10-18,Compute Engine,1.75
2023-10-19,Compute Engine,2.69
2023-10-20,Compute Engine,1.65
2023-10-21,Compute Engine,1.52
2023-10-22,Compute Engine,1.22
2023-10-23,Compute Engine,1.18
2023-10-24,Compute Engine,1.92
2023-10-25,Compute Engine,1.61
2023-10-26,Compute Engine,1.17
2023-10-27,Compute Engine,0.98
2023-10-28,Compute Engine,1.4
2023-10-29,Compute Engine,1.22
2023-10-30,Compute Engine,1.48
2023-10-31,Compute Engine,1.37
2023-11-01,Compute Engine,1.67
2023-11-02,Compute Engine,0.87
2023-11-03,Compute Engine,2.01
2023-11-04,Compute Engine,2.82
2023-11-05,Compute Engine,2.06
2023-11-06,Compute Engine,1.59
2023-11-07,Compute Engine,1.91
2023-11-08,Compute Engine,1.01
2023-11-09,Compute Engine,0.73
2023-11-10,Compute Engine,1.87
2023-11-11,Compute Engine,1.24
2023-11-12,Compute Engine,0.85
2023-11-13,Compute Engine,1.08
2023-11-14,Compute Engine,0.96
2023-11-15,Compute Engine,1.57
2023-11-16,Compute Engine,1.78
2023-11-17,Compute Engine,1.93
2023-11-18,Compute Engine,1.94
2023-11-19,Compute Engine,1.87
2023-11-20,Compute Engine,1.41
2023-11-21,Compute Engine,1.21
2023-11-22,Compute Engine,0.79
2023-11-23,Compute Engine,2.04
2023-11-24,Compute Engine,1.43
2023-11-25,Compute Engine,1.32
2023-11-26,Compute Engine,2.08
2023-11-27,Compute Engine,1.09
2023-11-28,Compute Engine,1.92
2023-11-29,Compute Engine,1.66
2023-11-30,Compute Engine,1.02
2023-12-01,Compute Engine,1.49
2023-12-02,Compute Engine,1.99
2023-12-03,Compute Engine,1.91
2023-12-04,Compute Engine,2.25
2023-12-05,Compute Engine,1.69
2023-12-06,Compute Engine,3.15
2023-12-07,Compute Engine,1.09
2023-12-08,Compute Engine,1.34
2023-12-09,Compute Engine,1.51
2023-12-10,Compute Engine,0.86
2023-12-11,Compute Engine,2.04
2023-12-12,Compute Engine,1.97
2023-12-13,Compute Engine,1.55
2023-12-14,Compute Engine,1.29
2023-12-15,Compute Engine,0.83
2023-12-16,Compute Engine,1.17
2023-12-17,Compute Engine,1.9
2023-12-18,Compute Engine,1.45
2023-12-19,Compute Engine,1.35
2023-12-20,Compute Engine,1.79
2023-12-21,Compute Engine,2.11
2023-12-22,Compute Engine,1.68
2023-12-23,Compute Engine,1.71
2023-12-24,Compute Engine,2.22
2023-12-25,Compute Engine,1.64
2023-12-26,Compute Engine,1.41
2023-12-27,Compute Engine,1.89
2023-12-28,Compute Engine,1.44
2023-12-29,Compute Engine,1.39
2023-12-30,Compute Engine,2.18
2023-12-31,Compute Engine,1.43
2024-01-01,Compute Engine,0.29
2024-01-02,Compute Engine,1.74
2024-01-03,Compute Engine,1.38
2024-01-04,Compute Engine,1.43
2024-01-05,Compute Engine,1.79
2024-01-06,Compute Engine,1.5
2024-01-07,Compute Engine,1.68
2024-01-08,Compute Engine,0.61
2024-01-09,Compute Engine,1.13
2024-01-10,Compute Engine,2.26
2024-01-11,Compute Engine,1.57
2024-01-12,Compute Engine,0.78
2024-01-13,Compute Engine,1.07
2024-01-14,Compute Engine,1.11
2024-01-15,Compute Engine,1.64
2024-01-16,Compute Engine,1.38
2024-01-17,Compute Engine,1.28
2024-01-18,Compute Engine,1.6
2024-01-19,Compute Engine,1.82
2024-01-20,Compute Engine,1.47
2024-01-21,Compute Engine,1.32
2024-01-22,Compute Engine,1.4
2024-01-23,Compute Engine,1.76
2024-01-24,Compute Engine,1.6
2024-01-25,Compute Engine,1.97
2024-01-26,Compute Engine,1.05
2024-01-27,Compute Engine,1.23
2024-01-28,Compute Engine,1.98
2024-01-29,Compute Engine,1.22
2024-01-30,Compute Engine,2.28
2024-01-31,Compute Engine,2.29
2024-02-01,Compute Engine,2.28
2024-02-02,Compute Engine,1.19
2024-02-03,Compute Engine,1.65
2024-02-04,Compute Engine,1.38
2024-02-05,Compute Engine,2.06
2024-02-06,Compute Engine,2.44
2024-02-07,Compute Engine,2.04
2024-02-08,Compute Engine,1.63
2024-02-09,Compute Engine,1.45
2024-02-10,Compute Engine,1.94
2024-02-11,Compute Engine,1.04
2024-02-12,Compute Engine,1.89
2024-02-13,Compute Engine,1.19
2024-02-14,Compute Engine,1.93
2024-02-15,Compute Engine,1.56
2024-02-16,Compute Engine,1.45
2024-02-17,Compute Engine,1.21
2024-02-18,Compute Engine,1.47
2024-02-19,Compute Engine,1.91
2024-02-20,Compute Engine,2.14
2024-02-21,Compute Engine,1.9
2024-02-22,Compute Engine,2.3
2024-02-23,Compute Engine,2.87
2024-02-24,Compute Engine,1.49
2024-02-25,Compute Engine,1.55
2024-02-26,Compute Engine,0.96
2024-02-27,Compute Engine,2.22
2024-02-28,Compute Engine,2.28
2024-02-29,Compute Engine,1.24
2024-03-01,Compute Engine,1.95
