month,predicted_monthly_cost
2023-10-01,954.7492917501702
2023-11-01,944.3354347451848
2023-12-01,995.9330334231881
2024-01-01,1027.4232613560623
2024-02-01,969.8344832086465
2024-03-01,1052.2305503015953
2024-04-01,1032.0455478755084
2024-05-01,1099.1348976438467
2024-06-01,1073.4701645435543
2024-07-01,1133.28588907451
2024-08-01,1151.4511903618118
2024-09-01,1136.1801580979259
2024-10-01,1194.0595031743067
2024-11-01,1165.1520263125703
2024-12-01,1210.7255306375214
2025-01-01,1237.2941930364925
2025-02-01,1135.636616744141
2025-03-01,1278.6045848169563
2025-04-01,1255.2183988166817
2025-05-01,1335.0928560088735
2025-06-01,1301.3575460887848
2025-07-01,1362.8978497482394
2025-08-01,1374.8296898560322
2025-09-01,1350.165198922438
2025-10-01,1412.985972071326
2025-11-01,1374.9316902218652
2025-12-01,1426.7869035468116
2026-01-01,1447.4247497254003
2026-02-01,1313.9297732674934
2026-03-01,1467.600355973839
2026-04-01,1432.3779932394252
2026-05-01,1510.2084999701108
2026-06-01,1467.6060734698908
2026-07-01,1534.369739922207
2026-08-01,1546.2910388620792
2026-09-01,1516.596651042321
2026-10-01,1584.5521709914842
