ds,predicted_monthly_cost,service
2023-10-01,78.43891357826664,Artifact Registry
2023-11-01,77.22808270890602,Artifact Registry
2023-12-01,80.170144667008,Artifact Registry
2024-01-01,82.93294786459388,Artifact Registry
2024-02-01,77.3971774092399,Artifact Registry
2024-03-01,85.39714738043402,Artifact Registry
2024-04-01,81.20755381893346,Artifact Registry
2024-05-01,87.22741234463302,Artifact Registry
2024-06-01,84.59015070436139,Artifact Registry
2024-07-01,88.7378870485554,Artifact Registry
2024-08-01,90.38340889029179,Artifact Registry
2024-09-01,84.91546012896269,Artifact Registry
2024-10-01,87.51819873686009,Artifact Registry
2024-11-01,85.36149062669116,Artifact Registry
2024-12-01,89.00022685386887,Artifact Registry
2025-01-01,92.17161932343019,Artifact Registry
2025-02-01,83.13694191938004,Artifact Registry
2025-03-01,95.14237837777546,Artifact Registry
2025-04-01,91.15117181755978,Artifact Registry
2025-05-01,97.53221701477382,Artifact Registry
2025-06-01,94.80509662446015,Artifact Registry
2025-07-01,99.8963843489644,Artifact Registry
2025-08-01,101.54168220232377,Artifact Registry
2025-09-01,96.05878223109397,Artifact Registry
2025-10-01,99.16073057012977,Artifact Registry
2025-11-01,96.98910000358833,Artifact Registry
2025-12-01,101.0897980343382,Artifact Registry
2026-01-01,104.11725545272382,Artifact Registry
2026-02-01,93.9808785076598,Artifact Registry
2026-03-01,107.08327056368111,Artifact Registry
2026-04-01,102.92485107290406,Artifact Registry
2026-05-01,109.39006380947114,Artifact Registry
2026-06-01,106.3817131784515,Artifact Registry
2026-07-01,111.8101159435426,Artifact Registry
2026-08-01,113.57088926577808,Artifact Registry
2026-09-01,107.8145477098526,Artifact Registry
2026-10-01,111.10045264886874,Artifact Registry
2023-10-01,62.63463760597004,BigQuery
2023-11-01,63.63311670827018,BigQuery
2023-12-01,66.25823109836232,BigQuery
2024-01-01,68.13502035941966,BigQuery
2024-02-01,64.75334653088159,BigQuery
2024-03-01,70.35646997205224,BigQuery
2024-04-01,69.79758071124569,BigQuery
2024-05-01,73.38530017292186,BigQuery
2024-06-01,71.86396904906577,BigQuery
2024-07-01,75.99956535566685,BigQuery
2024-08-01,77.24284782939014,BigQuery
2024-09-01,75.40337364748227,BigQuery
2024-10-01,80.60807092420961,BigQuery
2024-11-01,80.20788424462167,BigQuery
2024-12-01,82.82894943571176,BigQuery
2025-01-01,84.47618799795657,BigQuery
2025-02-01,77.15603025453088,BigQuery
2025-03-01,86.48786082227055,BigQuery
2025-04-01,85.33382521099698,BigQuery
2025-05-01,89.50239615882043,BigQuery
2025-06-01,87.58534744762564,BigQuery
2025-07-01,92.46768499130914,BigQuery
2025-08-01,93.81826631074969,BigQuery
2025-09-01,91.655896443428,BigQuery
2025-10-01,97.46685878243663,BigQuery
2025-11-01,96.6709348574857,BigQuery
2025-12-01,99.94568191416597,BigQuery
2026-01-01,101.6070276161282,BigQuery
2026-02-01,92.6208027246129,BigQuery
2026-03-01,103.64210405661906,BigQuery
2026-04-01,101.87836708988209,BigQuery
2026-05-01,106.59541473391752,BigQuery
2026-06-01,104.18335325127002,BigQuery
2026-07-01,109.56263971371415,BigQuery
2026-08-01,110.92358062724622,BigQuery
2026-09-01,108.21236202097852,BigQuery
2026-10-01,114.58313664029741,BigQuery
2023-10-01,36.534152822180474,Cloud Build
2023-11-01,36.006665349215744,Cloud Build
2023-12-01,37.10000625729267,Cloud Build
2024-01-01,38.76609864418276,Cloud Build
2024-02-01,37.00641449669883,Cloud Build
2024-03-01,39.65675764721166,Cloud Build
2024-04-01,38.748727141523005,Cloud Build
2024-05-01,40.989099996947616,Cloud Build
2024-06-01,40.302106610003044,Cloud Build
2024-07-01,42.70262792566965,Cloud Build
2024-08-01,43.9876827157203,Cloud Build
2024-09-01,42.20779924247906,Cloud Build
2024-10-01,44.80374240453805,Cloud Build
2024-11-01,43.94560181180965,Cloud Build
2024-12-01,45.25753254250782,Cloud Build
2025-01-01,46.71802517063687,Cloud Build
2025-02-01,42.88614257200983,Cloud Build
2025-03-01,47.445168073584796,Cloud Build
2025-04-01,46.229537010911876,Cloud Build
2025-05-01,48.6342953123691,Cloud Build
2025-06-01,47.67653988095314,Cloud Build
2025-07-01,50.42176590510025,Cloud Build
2025-08-01,51.847182287239576,Cloud Build
2025-09-01,49.892127962427665,Cloud Build
2025-10-01,52.86330770652894,Cloud Build
2025-11-01,51.880971912748734,Cloud Build
2025-12-01,53.52431071322129,Cloud Build
2026-01-01,55.12539917578195,Cloud Build
2026-02-01,50.564099716665105,Cloud Build
2026-03-01,56.04206885800889,Cloud Build
2026-04-01,54.58842123736816,Cloud Build
2026-05-01,57.39528253198254,Cloud Build
2026-06-01,56.129930103928885,Cloud Build
2026-07-01,59.180658465370115,Cloud Build
2026-08-01,60.591156802694115,Cloud Build
2026-09-01,58.39112968918058,Cloud Build
2026-10-01,61.60895336015377,Cloud Build
2023-10-01,57.902950059176874,Cloud CDN
2023-11-01,58.28520230283864,Cloud CDN
2023-12-01,62.63680921937585,Cloud CDN
2024-01-01,63.69940664545254,Cloud CDN
2024-02-01,61.99499589031909,Cloud CDN
2024-03-01,66.96822550680427,Cloud CDN
2024-04-01,65.23590593153384,Cloud CDN
2024-05-01,71.8183226790953,Cloud CDN
2024-06-01,66.77580056865138,Cloud CDN
2024-07-01,71.50322034091383,Cloud CDN
2024-08-01,71.65946329356655,Cloud CDN
2024-09-01,72.3417165442927,Cloud CDN
2024-10-01,78.21991717607327,Cloud CDN
2024-11-01,76.79577731853506,Cloud CDN
2024-12-01,80.76364653003759,Cloud CDN
2025-01-01,80.4608807135075,Cloud CDN
2025-02-01,74.92535321045752,Cloud CDN
2025-03-01,84.48031651555725,Cloud CDN
2025-04-01,83.07166165724895,Cloud CDN
2025-05-01,91.08020662161266,Cloud CDN
2025-06-01,85.39340243677,Cloud CDN
2025-07-01,90.58789150991217,Cloud CDN
2025-08-01,90.54918071223695,Cloud CDN
2025-09-01,90.9097329160563,Cloud CDN
2025-10-01,98.07448923931632,Cloud CDN
2025-11-01,96.84276864892168,Cloud CDN
2025-12-01,102.06971754970644,Cloud CDN
2026-01-01,102.61057684784474,Cloud CDN
2026-02-01,94.98008696936529,Cloud CDN
2026-03-01,106.24808479949165,Cloud CDN
2026-04-01,103.52023827162833,Cloud CDN
2026-05-01,111.68171565187863,Cloud CDN
2026-06-01,105.2461685409987,Cloud CDN
2026-07-01,110.95725196571173,Cloud CDN
2026-08-01,111.08366491512585,Cloud CDN
